Stat,Rank,Value,Team,Year
Total Defense,73,412.8,Rutgers Scarlet Knights,2014
Rushing Defense,4,100.8,Rutgers Scarlet Knights,2014
Passing Yards Allowed,120,312.0,Rutgers Scarlet Knights,2014
Team Passing Efficiency Defense,100,145.49,Rutgers Scarlet Knights,2014
Scoring Defense,80,29.8,Rutgers Scarlet Knights,2014
Turnover Margin,119,-0.92,Rutgers Scarlet Knights,2014
3rd Down Conversion Pct,T-94,0.353,Rutgers Scarlet Knights,2014
4th Down Conversion Pct,3,0.778,Rutgers Scarlet Knights,2014
3rd Down Conversion Pct Defense,84,0.416,Rutgers Scarlet Knights,2014
4th Down Conversion Pct Defense,120,0.765,Rutgers Scarlet Knights,2014
Red Zone Offense,104,0.764,Rutgers Scarlet Knights,2014
Red Zone Defense,100,0.875,Rutgers Scarlet Knights,2014
Net Punting,88,35.97,Rutgers Scarlet Knights,2014
Punt Returns,29,11.37,Rutgers Scarlet Knights,2014
Kickoff Returns,45,22.49,Rutgers Scarlet Knights,2014
First Downs Offense,75,254,Rutgers Scarlet Knights,2014
First Downs Defense,T-76,275,Rutgers Scarlet Knights,2014
Fewest Penalties Per Game,92,6.46,Rutgers Scarlet Knights,2014
Fewest Penalty Yards Per Game,90,53.77,Rutgers Scarlet Knights,2014
Time of Possession,77,29:18,Rutgers Scarlet Knights,2014
Total Offense,41,435.2,SMU Mustangs,2014
Rushing Offense,117,93.8,SMU Mustangs,2014
Passing Offense,8,341.4,SMU Mustangs,2014
Team Passing Efficiency,68,128.60,SMU Mustangs,2014
Scoring Offense,76,26.8,SMU Mustangs,2014
Total Defense,72,412.6,SMU Mustangs,2014
Rushing Defense,31,140.8,SMU Mustangs,2014
Passing Yards Allowed,113,271.8,SMU Mustangs,2014
Team Passing Efficiency Defense,94,139.96,SMU Mustangs,2014
Scoring Defense,T-99,33.3,SMU Mustangs,2014
Turnover Margin,T-105,-0.58,SMU Mustangs,2014
3rd Down Conversion Pct,78,0.389,SMU Mustangs,2014
4th Down Conversion Pct,64,0.481,SMU Mustangs,2014
3rd Down Conversion Pct Defense,80,0.412,SMU Mustangs,2014
4th Down Conversion Pct Defense,T-40,0.450,SMU Mustangs,2014
Red Zone Offense,97,0.780,SMU Mustangs,2014
Red Zone Defense,104,0.880,SMU Mustangs,2014
Net Punting,123,31.30,SMU Mustangs,2014
Punt Returns,65,7.88,SMU Mustangs,2014
Kickoff Returns,98,19.30,SMU Mustangs,2014
First Downs Offense,T-58,276,SMU Mustangs,2014
First Downs Defense,71,269,SMU Mustangs,2014
Fewest Penalties Per Game,113,7.50,SMU Mustangs,2014
Fewest Penalty Yards Per Game,110,64.17,SMU Mustangs,2014
Time of Possession,86,28:55,SMU Mustangs,2014
Total Offense,51,424.9,San Diego St. Aztecs,2014
Rushing Offense,68,166.6,San Diego St. Aztecs,2014
Passing Offense,38,258.3,San Diego St. Aztecs,2014
Team Passing Efficiency,79,124.84,San Diego St. Aztecs,2014
Scoring Offense,59,29.8,San Diego St. Aztecs,2014
Total Defense,53,386.2,San Diego St. Aztecs,2014
Rushing Defense,22,131.4,San Diego St. Aztecs,2014
Passing Yards Allowed,98,254.8,San Diego St. Aztecs,2014
Team Passing Efficiency Defense,86,135.35,San Diego St. Aztecs,2014
Scoring Defense,92,31.7,San Diego St. Aztecs,2014
Turnover Margin,117,-0.85,San Diego St. Aztecs,2014
3rd Down Conversion Pct,57,0.408,San Diego St. Aztecs,2014
4th Down Conversion Pct,100,0.395,San Diego St. Aztecs,2014
3rd Down Conversion Pct Defense,57,0.387,San Diego St. Aztecs,2014
4th Down Conversion Pct Defense,42,0.458,San Diego St. Aztecs,2014
Red Zone Offense,118,0.712,San Diego St. Aztecs,2014
Red Zone Defense,123,0.953,San Diego St. Aztecs,2014
Net Punting,82,36.33,San Diego St. Aztecs,2014
Punt Returns,32,11.16,San Diego St. Aztecs,2014
Kickoff Returns,71,21.04,San Diego St. Aztecs,2014
First Downs Offense,65,269,San Diego St. Aztecs,2014
First Downs Defense,T-64,266,San Diego St. Aztecs,2014
Fewest Penalties Per Game,100,6.77,San Diego St. Aztecs,2014
Fewest Penalty Yards Per Game,99,59.08,San Diego St. Aztecs,2014
Time of Possession,22,32:02,San Diego St. Aztecs,2014
Total Offense,15,493.3,San Jose St. Spartans,2014
Rushing Offense,97,137.3,San Jose St. Spartans,2014
Passing Offense,6,355.9,San Jose St. Spartans,2014
Team Passing Efficiency,17,153.22,San Jose St. Spartans,2014
Scoring Offense,44,32.4,San Jose St. Spartans,2014
Total Defense,103,459.3,San Jose St. Spartans,2014
Rushing Defense,102,211.7,San Jose St. Spartans,2014
Passing Yards Allowed,86,247.6,San Jose St. Spartans,2014
Team Passing Efficiency Defense,91,138.08,San Jose St. Spartans,2014
Scoring Defense,103,35.1,San Jose St. Spartans,2014
Turnover Margin,T-94,-0.42,San Jose St. Spartans,2014
3rd Down Conversion Pct,42,0.434,San Jose St. Spartans,2014
4th Down Conversion Pct,21,0.615,San Jose St. Spartans,2014
3rd Down Conversion Pct Defense,112,0.462,San Jose St. Spartans,2014
4th Down Conversion Pct Defense,116,0.737,San Jose St. Spartans,2014
Red Zone Offense,86,0.795,San Jose St. Spartans,2014
Red Zone Defense,T-65,0.833,San Jose St. Spartans,2014
Net Punting,51,37.38,San Jose St. Spartans,2014
Punt Returns,102,5.20,San Jose St. Spartans,2014
Kickoff Returns,113,18.50,San Jose St. Spartans,2014
First Downs Offense,37,295,San Jose St. Spartans,2014
First Downs Defense,T-107,293,San Jose St. Spartans,2014
Fewest Penalties Per Game,41,5.08,San Jose St. Spartans,2014
Fewest Penalty Yards Per Game,64,46.75,San Jose St. Spartans,2014
Time of Possession,43,30:38,San Jose St. Spartans,2014
Total Offense,50,425.5,South Ala. Jaguars,2014
Rushing Offense,60,172.8,South Ala. Jaguars,2014
Passing Offense,42,252.8,South Ala. Jaguars,2014
Team Passing Efficiency,57,132.12,South Ala. Jaguars,2014
Scoring Offense,63,29.4,South Ala. Jaguars,2014
Total Defense,50,384.3,South Ala. Jaguars,2014
Rushing Defense,55,159.7,South Ala. Jaguars,2014
Passing Yards Allowed,56,224.6,South Ala. Jaguars,2014
Team Passing Efficiency Defense,77,131.99,South Ala. Jaguars,2014
Scoring Defense,53,25.2,South Ala. Jaguars,2014
Turnover Margin,31,0.42,South Ala. Jaguars,2014
3rd Down Conversion Pct,62,0.400,South Ala. Jaguars,2014
4th Down Conversion Pct,105,0.364,South Ala. Jaguars,2014
3rd Down Conversion Pct Defense,37,0.364,South Ala. Jaguars,2014
4th Down Conversion Pct Defense,89,0.579,South Ala. Jaguars,2014
Red Zone Offense,T-77,0.800,South Ala. Jaguars,2014
Red Zone Defense,103,0.878,South Ala. Jaguars,2014
Net Punting,95,35.55,South Ala. Jaguars,2014
Punt Returns,93,6.12,South Ala. Jaguars,2014
Kickoff Returns,T-34,23.00,South Ala. Jaguars,2014
First Downs Offense,68,265,South Ala. Jaguars,2014
First Downs Defense,24,237,South Ala. Jaguars,2014
Fewest Penalties Per Game,57,5.33,South Ala. Jaguars,2014
Fewest Penalty Yards Per Game,57,45.75,South Ala. Jaguars,2014
Time of Possession,52,30:19,South Ala. Jaguars,2014
Total Offense,36,452.3,South Carolina  Gamecocks,2014
Rushing Offense,32,198.5,South Carolina  Gamecocks,2014
Passing Offense,40,253.8,South Carolina  Gamecocks,2014
Team Passing Efficiency,11,158.54,South Carolina  Gamecocks,2014
Scoring Offense,32,34.1,South Carolina  Gamecocks,2014
Total Defense,19,350.0,South Carolina  Gamecocks,2014
Rushing Defense,50,153.8,South Carolina  Gamecocks,2014
Passing Yards Allowed,12,196.2,South Carolina  Gamecocks,2014
Team Passing Efficiency Defense,45,121.60,South Carolina  Gamecocks,2014
Scoring Defense,12,20.3,South Carolina  Gamecocks,2014
Turnover Margin,8,1.00,South Carolina  Gamecocks,2014
3rd Down Conversion Pct,39,0.439,South Carolina  Gamecocks,2014
4th Down Conversion Pct,6,0.700,South Carolina  Gamecocks,2014
3rd Down Conversion Pct Defense,47,0.373,South Carolina  Gamecocks,2014
4th Down Conversion Pct Defense,101,0.619,South Carolina  Gamecocks,2014
Red Zone Offense,35,0.865,South Carolina  Gamecocks,2014
Red Zone Defense,40,0.804,South Carolina  Gamecocks,2014
Net Punting,116,34.09,South Carolina  Gamecocks,2014
Punt Returns,112,3.77,South Carolina  Gamecocks,2014
Kickoff Returns,92,19.69,South Carolina  Gamecocks,2014
First Downs Offense,T-39,291,South Carolina  Gamecocks,2014
First Downs Defense,12,228,South Carolina  Gamecocks,2014
Fewest Penalties Per Game,55,5.31,South Carolina  Gamecocks,2014
Fewest Penalty Yards Per Game,39,41.77,South Carolina  Gamecocks,2014
Time of Possession,23,32:00,South Carolina  Gamecocks,2014
Total Offense,72,399.9,Southern California Trojans,2014
Rushing Offense,59,172.8,Southern California Trojans,2014
Passing Offense,70,227.1,Southern California Trojans,2014
Team Passing Efficiency,30,145.28,Southern California Trojans,2014
Scoring Offense,60,29.7,Southern California Trojans,2014
Total Defense,13,335.2,Southern California Trojans,2014
Rushing Defense,15,120.6,Southern California Trojans,2014
Passing Yards Allowed,32,214.6,Southern California Trojans,2014
Team Passing Efficiency Defense,14,111.89,Southern California Trojans,2014
Scoring Defense,16,21.2,Southern California Trojans,2014
Turnover Margin,T-36,0.36,Southern California Trojans,2014
3rd Down Conversion Pct,97,0.351,Southern California Trojans,2014
4th Down Conversion Pct,T-49,0.533,Southern California Trojans,2014
3rd Down Conversion Pct Defense,12,0.327,Southern California Trojans,2014
4th Down Conversion Pct Defense,18,0.364,Southern California Trojans,2014
Red Zone Offense,6,0.925,Southern California Trojans,2014
Red Zone Defense,1,0.628,Southern California Trojans,2014
Net Punting,113,34.46,Southern California Trojans,2014
Punt Returns,13,13.28,Southern California Trojans,2014
Kickoff Returns,123,14.42,Southern California Trojans,2014
First Downs Offense,56,278,Southern California Trojans,2014
First Downs Defense,T-45,255,Southern California Trojans,2014
Fewest Penalties Per Game,98,6.71,Southern California Trojans,2014
Fewest Penalty Yards Per Game,98,57.93,Southern California Trojans,2014
Time of Possession,10,33:04,Southern California Trojans,2014
Total Offense,114,315.5,Southern Miss.  Golden Eagles,2014
Rushing Offense,121,72.9,Southern Miss.  Golden Eagles,2014
Passing Offense,54,242.6,Southern Miss.  Golden Eagles,2014
Team Passing Efficiency,113,103.96,Southern Miss.  Golden Eagles,2014
Scoring Offense,117,17.1,Southern Miss.  Golden Eagles,2014
Total Defense,99,435.5,Southern Miss.  Golden Eagles,2014
Rushing Defense,113,224.6,Southern Miss.  Golden Eagles,2014
Passing Yards Allowed,25,210.9,Southern Miss.  Golden Eagles,2014
Team Passing Efficiency Defense,108,152.26,Southern Miss.  Golden Eagles,2014
Scoring Defense,117,41.9,Southern Miss.  Golden Eagles,2014
Turnover Margin,123,-1.58,Southern Miss.  Golden Eagles,2014
3rd Down Conversion Pct,119,0.296,Southern Miss.  Golden Eagles,2014
4th Down Conversion Pct,87,0.438,Southern Miss.  Golden Eagles,2014
3rd Down Conversion Pct Defense,109,0.459,Southern Miss.  Golden Eagles,2014
4th Down Conversion Pct Defense,T-121,0.800,Southern Miss.  Golden Eagles,2014
Red Zone Offense,113,0.735,Southern Miss.  Golden Eagles,2014
Red Zone Defense,121,0.946,Southern Miss.  Golden Eagles,2014
Net Punting,120,33.07,Southern Miss.  Golden Eagles,2014
Punt Returns,12,13.42,Southern Miss.  Golden Eagles,2014
Kickoff Returns,91,19.72,Southern Miss.  Golden Eagles,2014
First Downs Offense,114,208,Southern Miss.  Golden Eagles,2014
First Downs Defense,101,288,Southern Miss.  Golden Eagles,2014
Fewest Penalties Per Game,65,5.58,Southern Miss.  Golden Eagles,2014
Fewest Penalty Yards Per Game,41,42.33,Southern Miss.  Golden Eagles,2014
Time of Possession,111,27:17,Southern Miss.  Golden Eagles,2014
Total Offense,69,405.4,Stanford Cardinal,2014
Rushing Offense,22,207.4,Stanford Cardinal,2014
Passing Offense,92,197.9,Stanford Cardinal,2014
Team Passing Efficiency,19,151.79,Stanford Cardinal,2014
Scoring Offense,45,32.3,Stanford Cardinal,2014
Total Defense,16,343.1,Stanford Cardinal,2014
Rushing Defense,3,89.4,Stanford Cardinal,2014
Passing Yards Allowed,96,253.8,Stanford Cardinal,2014
Team Passing Efficiency Defense,55,124.38,Stanford Cardinal,2014
Scoring Defense,10,19.0,Stanford Cardinal,2014
Turnover Margin,T-61,0.00,Stanford Cardinal,2014
3rd Down Conversion Pct,10,0.497,Stanford Cardinal,2014
4th Down Conversion Pct,T-35,0.571,Stanford Cardinal,2014
3rd Down Conversion Pct Defense,9,0.322,Stanford Cardinal,2014
4th Down Conversion Pct Defense,61,0.516,Stanford Cardinal,2014
Red Zone Offense,11,0.904,Stanford Cardinal,2014
Red Zone Defense,16,0.744,Stanford Cardinal,2014
Net Punting,32,38.13,Stanford Cardinal,2014
Punt Returns,59,8.17,Stanford Cardinal,2014
Kickoff Returns,2,27.40,Stanford Cardinal,2014
First Downs Offense,69,263,Stanford Cardinal,2014
First Downs Defense,T-83,280,Stanford Cardinal,2014
Fewest Penalties Per Game,T-53,5.29,Stanford Cardinal,2014
Fewest Penalty Yards Per Game,48,44.29,Stanford Cardinal,2014
Time of Possession,27,31:45,Stanford Cardinal,2014
Total Offense,85,376.8,Syracuse  Orange,2014
Rushing Offense,38,194.8,Syracuse  Orange,2014
Passing Offense,102,182.0,Syracuse  Orange,2014
Team Passing Efficiency,107,111.02,Syracuse  Orange,2014
Scoring Offense,98,22.7,Syracuse  Orange,2014
Total Defense,33,367.2,Syracuse  Orange,2014
Rushing Defense,24,137.4,Syracuse  Orange,2014
Passing Yards Allowed,63,229.8,Syracuse  Orange,2014
Team Passing Efficiency Defense,65,126.99,Syracuse  Orange,2014
Scoring Defense,56,25.4,Syracuse  Orange,2014
Turnover Margin,48,0.15,Syracuse  Orange,2014
3rd Down Conversion Pct,80,0.388,Syracuse  Orange,2014
4th Down Conversion Pct,72,0.471,Syracuse  Orange,2014
3rd Down Conversion Pct Defense,15,0.335,Syracuse  Orange,2014
4th Down Conversion Pct Defense,29,0.421,Syracuse  Orange,2014
Red Zone Offense,76,0.804,Syracuse  Orange,2014
Red Zone Defense,84,0.850,Syracuse  Orange,2014
Net Punting,76,36.50,Syracuse  Orange,2014
Punt Returns,66,7.82,Syracuse  Orange,2014
Kickoff Returns,94,19.51,Syracuse  Orange,2014
First Downs Offense,77,251,Syracuse  Orange,2014
First Downs Defense,T-30,243,Syracuse  Orange,2014
Fewest Penalties Per Game,115,7.62,Syracuse  Orange,2014
Fewest Penalty Yards Per Game,106,61.85,Syracuse  Orange,2014
Time of Possession,47,30:25,Syracuse  Orange,2014
Total Offense,104,344.8,TCU Horned Frogs,2014
Rushing Offense,110,118.6,TCU Horned Frogs,2014
Passing Offense,72,226.3,TCU Horned Frogs,2014
Team Passing Efficiency,101,114.62,TCU Horned Frogs,2014
Scoring Offense,87,25.1,TCU Horned Frogs,2014
Total Defense,24,356.4,TCU Horned Frogs,2014
Rushing Defense,21,130.8,TCU Horned Frogs,2014
Passing Yards Allowed,58,225.6,TCU Horned Frogs,2014
Team Passing Efficiency Defense,11,108.88,TCU Horned Frogs,2014
Scoring Defense,54,25.3,TCU Horned Frogs,2014
Turnover Margin,T-74,-0.17,TCU Horned Frogs,2014
3rd Down Conversion Pct,112,0.320,TCU Horned Frogs,2014
4th Down Conversion Pct,T-98,0.400,TCU Horned Frogs,2014
3rd Down Conversion Pct Defense,32,0.360,TCU Horned Frogs,2014
4th Down Conversion Pct Defense,T-99,0.615,TCU Horned Frogs,2014
Red Zone Offense,25,0.878,TCU Horned Frogs,2014
Red Zone Defense,70,0.837,TCU Horned Frogs,2014
Net Punting,73,36.58,TCU Horned Frogs,2014
Punt Returns,26,11.50,TCU Horned Frogs,2014
Kickoff Returns,3,26.28,TCU Horned Frogs,2014
First Downs Offense,107,213,TCU Horned Frogs,2014
First Downs Defense,10,222,TCU Horned Frogs,2014
Fewest Penalties Per Game,94,6.58,TCU Horned Frogs,2014
Fewest Penalty Yards Per Game,91,54.08,TCU Horned Frogs,2014
Time of Possession,48,30:23,TCU Horned Frogs,2014
Total Offense,74,399.0,Temple  Owls,2014
Rushing Offense,81,149.3,Temple  Owls,2014
Passing Offense,46,249.7,Temple  Owls,2014
Team Passing Efficiency,66,129.32,Temple  Owls,2014
Scoring Offense,88,24.9,Temple  Owls,2014
Total Defense,108,473.6,Temple  Owls,2014
Rushing Defense,76,175.0,Temple  Owls,2014
Passing Yards Allowed,119,298.6,Temple  Owls,2014
Team Passing Efficiency Defense,106,151.32,Temple  Owls,2014
Scoring Defense,82,29.8,Temple  Owls,2014
Turnover Margin,T-97,-0.50,Temple  Owls,2014
3rd Down Conversion Pct,50,0.422,Temple  Owls,2014
4th Down Conversion Pct,68,0.478,Temple  Owls,2014
3rd Down Conversion Pct Defense,77,0.409,Temple  Owls,2014
4th Down Conversion Pct Defense,66,0.526,Temple  Owls,2014
Red Zone Offense,T-94,0.784,Temple  Owls,2014
Red Zone Defense,75,0.843,Temple  Owls,2014
Net Punting,12,40.00,Temple  Owls,2014
Punt Returns,T-103,5.00,Temple  Owls,2014
Kickoff Returns,90,19.72,Temple  Owls,2014
First Downs Offense,T-80,249,Temple  Owls,2014
First Downs Defense,96,286,Temple  Owls,2014
Fewest Penalties Per Game,T-90,6.42,Temple  Owls,2014
Fewest Penalty Yards Per Game,87,53.42,Temple  Owls,2014
Time of Possession,97,28:28,Temple  Owls,2014
Total Offense,102,353.3,Tennessee  Volunteers,2014
Rushing Offense,44,188.4,Tennessee  Volunteers,2014
Passing Offense,109,164.9,Tennessee  Volunteers,2014
Team Passing Efficiency,111,105.48,Tennessee  Volunteers,2014
Scoring Offense,94,23.8,Tennessee  Volunteers,2014
Total Defense,83,418.4,Tennessee  Volunteers,2014
Rushing Defense,100,207.3,Tennessee  Volunteers,2014
Passing Yards Allowed,T-27,211.1,Tennessee  Volunteers,2014
Team Passing Efficiency Defense,58,125.47,Tennessee  Volunteers,2014
Scoring Defense,T-78,29.0,Tennessee  Volunteers,2014
Turnover Margin,T-54,0.08,Tennessee  Volunteers,2014
3rd Down Conversion Pct,92,0.358,Tennessee  Volunteers,2014
4th Down Conversion Pct,T-76,0.455,Tennessee  Volunteers,2014
3rd Down Conversion Pct Defense,91,0.425,Tennessee  Volunteers,2014
4th Down Conversion Pct Defense,T-117,0.750,Tennessee  Volunteers,2014
Red Zone Offense,100,0.773,Tennessee  Volunteers,2014
Red Zone Defense,T-11,0.735,Tennessee  Volunteers,2014
Net Punting,28,38.48,Tennessee  Volunteers,2014
Punt Returns,51,8.94,Tennessee  Volunteers,2014
Kickoff Returns,20,23.78,Tennessee  Volunteers,2014
First Downs Offense,101,223,Tennessee  Volunteers,2014
First Downs Defense,45,255,Tennessee  Volunteers,2014
Fewest Penalties Per Game,26,4.58,Tennessee  Volunteers,2014
Fewest Penalty Yards Per Game,21,37.92,Tennessee  Volunteers,2014
Time of Possession,91,28:49,Tennessee  Volunteers,2014
Total Offense,64,408.7,Texas  Longhorns,2014
Rushing Offense,36,196.2,Texas  Longhorns,2014
Passing Offense,79,212.5,Texas  Longhorns,2014
Team Passing Efficiency,95,117.73,Texas  Longhorns,2014
Scoring Offense,65,29.3,Texas  Longhorns,2014
Total Defense,68,407.2,Texas  Longhorns,2014
Rushing Defense,83,183.1,Texas  Longhorns,2014
Passing Yards Allowed,53,224.2,Texas  Longhorns,2014
Team Passing Efficiency Defense,38,120.69,Texas  Longhorns,2014
Scoring Defense,57,25.8,Texas  Longhorns,2014
Turnover Margin,39,0.31,Texas  Longhorns,2014
3rd Down Conversion Pct,59,0.405,Texas  Longhorns,2014
4th Down Conversion Pct,75,0.458,Texas  Longhorns,2014
3rd Down Conversion Pct Defense,43,0.368,Texas  Longhorns,2014
4th Down Conversion Pct Defense,T-22,0.385,Texas  Longhorns,2014
Red Zone Offense,23,0.881,Texas  Longhorns,2014
Red Zone Defense,92,0.865,Texas  Longhorns,2014
Net Punting,40,37.79,Texas  Longhorns,2014
Punt Returns,27,11.45,Texas  Longhorns,2014
Kickoff Returns,72,21.02,Texas  Longhorns,2014
First Downs Offense,63,273,Texas  Longhorns,2014
First Downs Defense,76,275,Texas  Longhorns,2014
Fewest Penalties Per Game,45,5.15,Texas  Longhorns,2014
Fewest Penalty Yards Per Game,58,45.92,Texas  Longhorns,2014
Time of Possession,53,30:17,Texas  Longhorns,2014
Total Offense,4,538.4,Texas A&M Aggies,2014
Rushing Offense,45,185.1,Texas A&M Aggies,2014
Passing Offense,7,353.3,Texas A&M Aggies,2014
Team Passing Efficiency,4,169.90,Texas A&M Aggies,2014
Scoring Offense,5,44.2,Texas A&M Aggies,2014
Total Defense,109,475.8,Texas A&M Aggies,2014
Rushing Defense,110,222.3,Texas A&M Aggies,2014
Passing Yards Allowed,95,253.5,Texas A&M Aggies,2014
Team Passing Efficiency Defense,88,136.49,Texas A&M Aggies,2014
Scoring Defense,95,32.2,Texas A&M Aggies,2014
Turnover Margin,T-56,0.08,Texas A&M Aggies,2014
3rd Down Conversion Pct,8,0.503,Texas A&M Aggies,2014
4th Down Conversion Pct,22,0.611,Texas A&M Aggies,2014
3rd Down Conversion Pct Defense,78,0.410,Texas A&M Aggies,2014
4th Down Conversion Pct Defense,T-80,0.560,Texas A&M Aggies,2014
Red Zone Offense,72,0.808,Texas A&M Aggies,2014
